[Published: 2024-08-31]
ARN: Teen char road blocks hain. Haan, kahin na kahin phasoge. Haan, lekin yeh time ab chalne wala nahi hai. Dekho yaar, main to ek baat bolta hoon, aap agar apne bache ko koi sabse acchi cheez de sakte ho na... sabse bada asset jo aap apne bacho ko de sakte ho, woh hai aap usko sikhao ke beta, learn to create value, not money. Value...

Speaker 2: Usse pehle mujhe lagta hai learn to learn.

ARN: Learn to unlearn first.

Speaker 2: Learn to unlearn first, haan.

ARN: Agar, agar damage ho gaya hai, to learn to unlearn karna padega. Yeh bhi maine bohot seekha ke bhai jo aap ki jo programming ho gayi hai na 20 saal mein, pehle to us programming ko aap ne khatam karna hai warna aap naya kuch nahi seekh sakte. Unlearning ka poora ek concept hai ke aap zero kar do apne aap ko, uske baad hi nayi information aap ke andar ja sakti hai.

Speaker 2: Acha, maine bhi suna hai Charlie Munger bhi kehta hai ke it's very difficult to unlearn, but iska process kya hai?

ARN: Bhai iska process yeh hai ke akele mein tumhein apne sath time guzarna padega.

Speaker 2: Acha.

ARN: Mobile ke baghair.

Speaker 2: Jo ke...

ARN: Jo ke tum agar notice karo na, hum mein se bohot kam log...

Speaker 2: ...possible nahi hai.

ARN: ...possible nahi hai. Kuch log to washroom mein bhi le jaate hain mobile. Sahi hai? Akele mein time ho, aap baithe ho apne sath aur apne sath baithe hue ho. Yaar main hoon na, mujhe kin baaton pe gussa aata hai? Aaj ka din maine jis insaan se baat ki, kya main usse acche se baat kar sakta tha? Kya mere alfaaz kuch behtar ho sakte the? Kya aisi cheez hai jo agar main apne andar theek kar loon to main ek behtar insaan ban sakta hoon? Yeh process aap ko pehle apne aap ko samajhna padega, aur phir jo hai na woh phase shuru hoga. Accept karna padega, hamare ustad kehte hain ke sabse mushkil kaam hai duniya ka, maafi mangna.

Speaker 2: Haan.

ARN: Hai to sahi. Aur doosre number pe hai shukr ada karna. Theek hai? Doosra wala hum kar dete hain, actually hum shukr ada nahi kar rahe hote. Actually hum just, we are just being, you know...

Speaker 2: Getting over with...

ARN: ...but shukr jo hota hai na woh ek state hai, woh dil ke andar mehsoos hoti hai. Jab samne wale ka aap karte ho na aur shukriya aap ada karte ho, usko feel ho jata hai woh, uske andar power hai. Isi tarha maafi mein bhi power hai. Agar aap tareeqe se maafi mango na aur aap ke andar andar ek woh maujood hai ke yaar maine galti ki hai, mujhe isko sudharna chahiye, aap ka unlearning ka process shuru ho chuka hai ab. Ab aap ko grow karne se koi nahi rok sakta.

Speaker 2: Bohot acchi baat ki hai, Fayaz Sir ne na, mere sath bhi yeh hua koi che-aath mahine pehle.

ARN: Haan.

Speaker 2: Pehle main bhi kaafi thoda sa hota tha apni investing mein stubborn.

ARN: Sahi.

Speaker 2: Theek hai uske bhi reasons hote the.

ARN: Sahi.

Speaker 2: Lekin che-aath mahine pehle investing framework likha hai. Ek tarha se humne na apni company mein woh constitution banaya hua hai ke, 'These are rules of investing.' To jab ek dafa aap ne woh likh diya na, aap ne apne aap ko phenk diya logon mein, ke main yeh bol raha hoon, agar main iske against jaoonga na to mujhe rok lena, pakad lena.

ARN: Haan.

Speaker 2: To woh usne ek bohot hi ek tarha se aap ko na...

ARN: Haan.

Speaker 2: ...usse kar diya ke aap ne jo bhi karna hai bada soch samajh ke karna hai, uske baghair nahi karna, aur improvement karne ka bhi bada accha tareeqa hai.

ARN: Bohot accha hai aur aap ko, you, you still liable to what you have written already. Haan, aur apne aap se bhi aap ko na, apne aap ko na har do-teen mahine baad judge karte raho. Judge karte raho apne aap ko. Kisi aur se nahi, akele mein baitho, be honest with yourself, aur bolo ke yaar kya main jo kar raha hoon sahi kar raha hoon? Bohot saari cheezein jo hain na acchi ho jayengi. To khair, main ek woh baat complete kar loon apni ke aap apne bache ko yeh batao ke yaar, learn to create value, money is a store of value. Agar aap jo hai woh physical value provide karoge na, be a problem solver, ultimate uska reward hoga money, theek hai? Agar aap emotional value create karoge, uska ultimate...**ARN:** store of value.

Agar aap jo hai wo physical value provide karoge na, be a problem solver, ultimate uska reward hoga money. Theek hai? Agar aap emotional value create karoge, uska ultimate reward hoga good family, good friends, good relationships. Aur agar aap jo hai na spiritual value create karoge na, then you will just become a happy and content person closer to God. Apni, apni problems ko samjho. Samjho ke mere andar ego ko main kaise maar sakta hoon. Tum jo hai na, ye bas agar apne bachay ko ye aapne de diya na ke beta, chor do saari cheezein, tu bas value create kar in teen cheezon mein. Na usko paise ka problem hoga, na usko relationship ka problem hoga, na usko jo hai na spiritual problem hoga.

To value is the real asset. Agar aapne apne bachay ko ye cheez sikha di, it is impossible ke wo grow na kare. Impossible. But, sikhayenge to tab na jab hamein khud aayegi. Hum khud itne broken hain andar se hum log, kyunki ek system hai jis pe hum andar hum chal rahe hain. Sach baat hai, hum sab log ek na system ke ye char sau paanch sau saal pehle jo bana tha na ke aapne jaake industry ke andar ek cog banke fit ho jaana hai. Jab aap ghar aaoge apne begum bachon ke paas jab aap aaoge, to ab aap bahut bada kaam karke aa gaye ho, ab koi mujhe kuch na bole. Sahi hai? Aur bas ab maine jo meri jo zimmedari thi wo poori ho gayi.

To humare ustad kehte hain jab tum ghar mein aaye, kaam to ab shuru hua hai tumhara. Asal. To in sab cheezon ko agar aap leke chaloge na, to mujhe nahi mujhe lagta hai ke you will be a really happy, content, successful person, Insha'Allah taala. To ye poori ek badi picture hai. Aur main koshish bhi karta hoon Firechaser pe bahut saari aisi cheezein daalne ki. Home schooling ke upar aur matlab aapke jo relationships hote hain, tarah tarah se na main koshish karta hoon ke logon ko bataoon. Jin cheezon se mujhe faayda hua na, mujhe khud in cheezon se faayda hua, main koshish karta hoon main wo na bataoon. Aur tum dono ke saath bhi maine bahut baat ki hai is baare mein. Paanch paanch ghante, che che ghante aur tum logon ne samjha hai yaar matlab mujhe mujhe na bada accha lagta hai agar koi insaan is level ki jismein koi money involve na ho, in cheezon mein koi koi money involve nahi hai, aur wo isme jo hai na interest le raha hai, to mujhe bada accha lagta hai ke yaar yahi to asal baatein hoti hain karne ki, maza aata hai.

**Speaker 1:** 100% yaar. But whenever jab bhi tum ye baat karte ho na, it, it, different perspective, ek, you know, ek ek cheez click karti hai aapke dimaag ke andar ke yaar, you know, everything is connected. Be it patience, patience is connected to something else. In career as well, in money as well, with your parents, with your family, with everything, yeah. 100% agreed, yaar.

**ARN:** Yaar ye matter karta hai sab kuch. Khair, chalo ab hum kuch aisi baat cheezon par baat karte hain ke jinse humari audience ko kuch faayda, kuch value mile. I hope ke in cheezon se bhi mile. But short, short-term ke liye. For, for those ke jo soch rahe hain ke yahan par hum bahut zyada jo hai na investment ki aur stocks ki baat karne wale hain, to unko bhi kuch hum value agar dene ki koshish karein. To agar ek banda hai, chota investor hai, uske paas panch hazar hi hain, che hazar hain, das hazar hain invest karne ke liye, usko kya karna chahiye? Kahan se shuru karna chahiye usko?

**Speaker 1:** I think Rehman you should take it first because I need to take a long time to respond to this. Okay. Okay.

**ARN:** Chalo main short mein batata hoon ke what is my thinking. Dekhein, waise to agar aap agle ek generation hoti hai, let's say aap apni next generation ke liye save kar rahe hain, pachis saal jo hai aap har mahine pachas hazar bhi agar invest karenge na stock market. Oh sorry, panch hazar. Ab panch hazar ko aapne badhana bhi nahi hai, main ye nahi keh raha ke ek saal baad isko saade panch kar dena hai phir che kar dena hai, panch hazar hi agar aap har mahine save karte rahenge for the next 25 years to ye pandrah lakh rupay bante hain. Sahi hai. Theek hai? Lekin jo stock market ka average return hai pichle pachis saal ka, wo in pandrah lakh ko do crore kar dega. Jo ke ek handsome amount hogi pachis saal baad. At least aap usse koi education kar sakte hoge ya koi aisa business start kar sakte hoge.

Lekin uske baad bhi main aapko kahunga ke aap stock market mein invest na karein.

**Speaker 1:** Okay. Kyun?

**ARN:** Uske wajah ye hai, aapne panch hazar lagaye hon ya pachas hazar lagaye hon, aap na roz kam az kam aadha ghanta usme spend karenge.

**Speaker 1:** Theek.

**ARN:** To jab aap panch hazar save kar rahe hain na, to wo aadha ghanta, ek ghanta jo hai na, wo pehle jaana chahiye in improving your earning ability.

**Speaker 1:** Sahi.

**ARN:** Apni job mein promotion ka try karein, communications improve karein, jiska bahut role hota hai promotion mein ya aapne apni koi skill development karni hai, jo log freelancing karte hain, apni pay grade ko upar lekar jaane ki koshish karein.

**Speaker 1:** Theek hai.

**ARN:** Jab aap pachas hazar save kar sakte hain mahine ke, phir ye start karein.

**Speaker 1:** Theek.

**ARN:** Ye pachas hazar se jab aap start karenge na, to wo jo do crore hai na, wo bees crore ho jayega.

**Speaker 1:** Theek hai.

**ARN:** Aur agar aap ek lakh par pahunch gaye to wo chalis crore ho jayega.

**Speaker 1:** Sahi.

**ARN:** To first step is invest in yourself.

**Speaker 1:** Okay.

**ARN:** Taake aapki thodi si earning ability jo hai wo improve ho, aur sab kar sakte hain. Itna mushkil nahi hota. Aap mehnat se kaam karo, logon ko bhi nazar aata hai, aapka talent nazar aata hai aur aapko promotions milti hain. Phir aap isko, jab aapke paas jaise jaise cash accumulate hota rahe.

**Speaker 1:** Sahi hai.

**ARN:** Jaise humne shuru mein baat ki thi, company ke paas ab cash aane lag gaya hai, ab wo re-investment nahi hai uske paas, ab wo apni skill ke andar nahi har mahine do lakh daal sakta, to phir wo stock market mein chala jaye.

**Speaker 1:** Theek.

**ARN:** Aur wahan jo hai na ek tarah se compounding start kar deta hai.

**Speaker 1:** Sahi.

**ARN:** To first invest in yourself, is se behtar koi investment nahi. Stock market ho, crypto ho, 50x bhi ho jaye na ek saal mein, usse behtar investment nahi hai. First invest in yourself, phir uske baad dekhein ke investment ke best options kya hain. Theek hai, Furqan, tumhara kya iska point of view hai?

**Furqan:** Matlab bilkul 100% agreed to it, but main isko main jab bhi baat karta hoon main isko bolta hoon ek step aur peeche chale jao. Okay. Ek step aur, bhool jao ye stock market bhool jao, money market, what real estate property. Why do you invest? You invest to generate wealth. Yes. You have a goal in the end. Yes. Chahe aap bachon ke liye paise chod ke jaana chahte hain, apna ghar khareedna chahte hain, gaadi khareedna chahte hain, overall apni life ko uplift karna chahte hain. Now you know the goal. Theek hai, mujhe meri life ko uplift karna hai, that's your goal, right? Now go back a little, ye jo panch hazar rupay ki hum baat kar rahe the na, ab is cheez ko kya kya cheezein disturb kar sakti hain? Okay, is goal ko? Is goal ko is goal tak pahunchne mein aapko nazar aa gaya ke yaar, mujhe jo main aaj pachas lakh ke ghar mein rehta hoon, bees hazar ke kiraye pe rehta hoon, main apni wife ko, apne bachon ko, apne maa baap ko acchi zindagi dena chahta hoon, isko uplift karna hai, uske liye mujhe naukri pe behtar grow karna hai wagera wagera. Rehman ne baat ki behtareen baat ki. But, what can disturb it? What if you die tomorrow? Agar journey beech mein se cut gayi, cut gayi, to kya hoga? Sab kuch dhara ka dhara reh gaya? Exactly. Ab ek minute ke liye panch hazar wale bande ki baat karte hain. Okay. Panch hazar per month banda bachata hai, matlab wo saath hazar rupay bacha raha hai saal ke. Saal ke, haan. Khuda na khasta, Allah na kare, teen saal ke baad ek lakh assi hazar rupay hain uske paas, return ban gaya do lakh rupay ka ho gaya, something happens to him. Khuda na khasta uske saath kuch ho gaya. Kya wo do lakh rupay uski family istemal kar legi ya usko compound hone ke liye chod degi? Mostly istemal kar legi. First is risk ko kam karein. First is protection, especially ye jo panch hazar wala bracket hai na, takaful ho, insurance ho, that is your protection. Ab protection ki poori category hoti hai ke agar aapka monthly expense hai na pachas hazar rupay, pachas hazar ka monthly expense hai, lakh rupay pakadte hain aasan ho jayega, lakh rupay ka monthly expense hai aapka, aapke paas bees saal ka run-way hona chahiye. Theek hai. 100,000 into 12, saal ka aaya, into 20, kitna bana 12 into 20 jo bhi bana 12 into 10 is do chalis, do chalis. Ab aap ko do crore chalis lakh rupay chahiye bees saal ke liye aapki family ko taake aapka baccha agar chota hai to bada ho jaye aur apne maa baap ka khayal rakhne lage wagera wagera. So, I think mera jo perspective investment ka hota hai na, ab ye panch hazar wala banda hai na isko badha dete hain. Hum kehte hain banda aisa banda hai jo ke das lakh rupay per mahina bacha sakta hai, usko nahi zaroorat hai. Sahi hai. Kyun ke jab wo accumulate kar raha hoga na, to wo teen saal ke baad agar das lakh rupay bacha raha hai na to sawa crore rupay saal ke, phir sawa crore rupay phir sawa crore rupay aur yaar aap jitne bhi bade ho jao na, aap Warren Buffett ho jao, kitne bhi arab pati ho jao na, aap kitni bhi life standard upar kar lo na, basic necessities ho jaati hain cover. Yes, yes, obviously. Ab aap, aap nahi khareedon Mercedes aap chala lo Alto, so kehne ka maqsad kya hai ye to goals se nikalta hai aapka ke aapne karna kya hai. Agar aapke paas kam paisa hai pehle think about ke yaar mujhe mere bachon ko acchi zindagiyaan hi deni thi na, main raha hi nahi to mera kya hoga. Ab insurance mein bhi do product nikal ke aate hain logon ko kya nazar aata hai ke yaar koi bhi banda aap insurance pe jaake baitho, aaj main research kar raha tha, by the way. Sahi hai. Insurance mein saare return calculate karne lag jaate hain. Aaj main research kar raha tha, maine kaha yaar mujhe term life insurance ya term life takaful ke baare mein koi company bata do, literally ek company ki website pe mujhe mila, hidden inside. Achha. Term life insurance mein samjhata hoon kya hota hai, life insurance to aap logon ko pata hoga, I have no idea, achha main bata raha hoon. Insurance pata hai kaise bikti hai? Insurance waise bikti hai jaise log mutual fund bechte hain. Achha. Itte paise daal do, har saal ke itte paise daalte jao, sir aapko coverage bhi milegi matlab khuda na khasta aap ko kuch ho gaya to aap ko itte paise bhi mil jayenge aur aakhir mein aap ko itte paise bhi mil jayenge, aise bikti hai na? Ab log haan aise bikti hai na, aise nahi bikti, poori duniya mein aise nahi hai, poori duniya mein na bikti hai term life insurance. Term life insurance ke andar kya hota hai, uska premium bhi bahut kam hota hai. Jaise jo aap ko saath hazar rupay mahina contribution pe investment pe end pe dikhayenge na, jaise aapki death value hogi do crore rupay ki, dhai crore rupay ki, kya aap saath hazar rupay mahine ke dalo dhai crore rupay aapko agar aapki death ho gayi between 20 years to aapko mil jayenge warna end mein bhi aapko do crore sawa do crore teen crore rupay mil jayenge, theek hai agar aap mare bhi nahi. Nahi mare to aapko paise mil jayenge kyunki wo investment hoti hai, term life ke andar kya hota hai, har saal ye saath hazar rupay de rahe the na, aap che hazar rupay har saal denge. Okay. Aur aapko sawa do crore rupay ka coverage milega. Oh. Aur end pe kuch nahi milega. Aur end pe zero milega aur har...ARN: crore pay mil jayenge. Theek hai? Agar aap mare hi nahi.

Guest 1: Nahi mare to aapko paise mil jayenge kyunki woh investment hoti hai. Woh term life ke andar kya hota hai, har saal ye 60,000 de rahe thay na, aap 6,000 rupees har saal denge.

ARN: Okay.

Guest 1: Aur aapko sawa do crore rupees ka coverage milega.

Guest 2: Oye.

ARN: Aur end pe kuch nahi milega.

Guest 1: Aur end pe zero milega aur har saal ye 6,000 rupees zero ho jayenge.

ARN: Haa to sahi hai na.

Guest 1: Ab aap kya khareed rahe ho? Gadi ki insurance kaise khareedte ho aap? Gadi ki koi saving thodi hoti hai. Aisa thodi hai ki bees saal tak insurance kara ke rakhoge to bees saal ke baad ek aur gadi milegi.

ARN: Haa, haa.

Guest 1: Aap bolte ho ki lag gayi na, to tabahi ho jayegi. Meri abhi gadi lagi hai na, mujhe pata hai. Ek mudguard dhaa lakh rupay ka hai.

ARN: Oh God.

Guest 1: So, mujhe pata hai.

ARN: Sahi hai.

Guest 1: To, agar aapne insurance nahi karayi hai, woh aapke pure investment goal ki aisi ki taisi kar dega.

ARN: Yes.

Guest 1: Once that is covered because, yaar, at the end of the day humne de ke hi jana hai apni family ko, le ke nahi jana hai. Abhi ek banda mere paas aaya, mujhe ispe likhta hai ki sir, maine abhi woh video banayi thi na, usme mujhe kaha, ye investment kyun kar rahe hain?

ARN: Hmm.

Guest 1: Kyunki humne family ke end tak humein pahunchna hai aur achhi grow karni hai family ko. Ab isme bohat sara hissa aapko inflation le jayega, right? Ab mere paas ek banda aa ke mujhe likhta hai ke sir ye jo aapne likha hai na 50,000 rupees to 10 crore rupees, ye to isme aadha to inflation le jayega.

ARN: Yaar, ek to inflation walon ne bohat tang kiya hua hai.

Guest 1: Nahi, nahi, sahi hai sahi hai sahi hai. Maine kaha haa, bilkul sahi baat hai. Bilkul le jayega aadha.

Guest 2: Inflation le jayega lekin aapne jo options available hain usi me se choose karna hai na.

Guest 1: Nahi, iska mai bohat achha jawab deta hoon jo maine likha usey. Maine usko likha ke yaar guaranteed aadha isme se inflation le jayega, but ye socho ki agar tumne save nahi kiya to kitna le jayega?

ARN: To kitna le jayega, haa.

Guest 1: Matalab tumhare capital me se hi ye amount le jayega.

ARN: Haa, bilkul.

Guest 1: So, for starting off, pehle ye decide karo investment kyun karni hai. Agar bohat chote basket me ho na pehle protection pe kaam kar lo.

ARN: Zabardast.

Guest 1: Protection pe ho gaya?

ARN: Aur ye kitne me ho jata hai takreeban? Agar let's say do crore ki ek protection chahiye, to mahina kitne dene honge?

Guest 1: Per mahine do dhaa hazar rupees, teen hazar rupees. Takaful me bhi mil jayega aapko, paanch hazar rupees pakad lo aap.

ARN: Matalab isme pehle Islamic options bhi maujood hain, non-Islamic option bhi maujood hain. But, kisi bhi insurance wale ko phone karoge na, woh aapko bolega sir, sir agar aapne paanch saal rakhe to fifteen percent pe itne bachenge. Sir, aapne twenty percent, sir thirty percent, sir thirty five percent.

Guest 2: Woh hum khud kar lenge na. Compounding hum khud kar lenge. Abhi tum risk protection karo.

Guest 1: Humein risk protection hi de do, hum apna compounding khud karna jaante hain.

ARN: Achha.

Guest 1: Isme bohat saari ye insurance pe video puri ek, pura ek podcast ban sakta hai.

ARN: Yaar, ye waise bari zabardast baat batai aapne.

Guest 1: Bohat zabardast baat hai. Matalab ke agar kisi ko nahi samajh aaye, insurance non-Islamic ek banda conventional space me hai, to term life insurance, warna term takaful kehte hain isko.

ARN: Term takaful.

Guest 1: Term takaful, matalab ek term ke liye insurance ki jagah takaful hai woh. Theek hai? Usme pool banta hai, har banda paise contribute karta hai aur uske andar se paisa bat'ta hai, theek hai?

Guest 2: Yahi unhon ne change kiya na? Unhon ne kaha end me hum koi paise nahi denge lekin jo chance of death hai usko calculate karke total logon se jo hai paise ikkathe kar liye aur Allah na kare jo one percent logon ki unusual death ho jati hai, unko pay...

ARN: And this works in Pakistan?

Guest 1: This works, of course, this works in Pakistan. Nobody knows about it.

Guest 2: Lekin iska claim karne ka process to mushkil...

Guest 1: Claim karne ka bhi process mushkil nahi hai because insurance companies pachees pachees, tees tees saalon se kaam kar rahi hain.

ARN: Okay.

Guest 1: To iska process bana hua hai aur aapke paas jis tarah hamare paas hai na, jis tarah Moafiz nahi hai lekin jis tarah mutual fund me kuch ho jaye to aap SECP ja sakte ho khuda na khasta, to yahan pe bhi inki authority bani hui hai. Mai naam uska bhool raha hoon. Woh pura regulate karte hain. Agar aapne unko likh ke de diya na to woh aisi ki taisi, kyunki mere paas...

ARN: Banking Mohtasib hai.

Guest 1: Banking Mohtasib hai na, is tarah insurance ka bhi hai, insurance ko kuch naam hai uska. Aisi ki taisi kar dete hain insurance walon ki ye log.

ARN: Achha.

Guest 1: Ji, jawab likh likh ke dene padte hain, fine karte hain inko. SECP bhi regulate karta hai certain products ko aur woh bhi regulate karta hai.

ARN: Sahi.

Guest 1: Kehne ka maqsad kya hai, is product ki detail me jaane se pehle agar aapne sabse pehla kaam karna hai na to aapne term life ya term takaful karna hai, apne aap ko protect kar lein, taake aapki family ko nuksaan na ho.

ARN: Zabardast.

Guest 1: Aur agar aapke paas journey bachti hai aur phir aap apne upar mehnat karein, income jo maine woh newsletter ka bata raha tha Rehman ne bohat achhi tarah se bataya.

ARN: Hmm.

Guest 1: Paanch hazar versus pachaas hazar.

ARN: Yes.

Guest 1: Bees saal, pachees saal.

ARN: Bilkul.

Guest 1: Aap ka zindagi badal jayegi yaar.

Guest 1: Yahan se farq hai. Mai to iski prime example hoon na. Meri pehli job jo thi woh jo mera stipend milta tha dhaa hazar ka milta tha woh. I was an apprentice in in government organization. Uske baad jo meri pehli job lagi na, pachees hazar rupay ki lagi thi. And I was really happy, matalab achhe time pe job lag gayi, usme se saving bhi hoti thi, udata tha paise, maze karta tha. Lekin kabhi dimaag me nahi aaya ke yaar mai jo hai na grow bhi mai kar sakta hoon. Aur us time agar mai bachata to kya bachata, pehle to investment ka pata hi nahi tha. Phir woh karte karte jab life ke stages badhte gaye na, to ab Allah ka shukr hai ke apne upar kaam karke income active itni ho gayi hai ke wahan pe jo mai pehle shayad agar paanch saal me bachata, woh mai har mahine nikal ke alag kar deta hoon. And people are like, nahi nahi, matalab people are like ke yaar aisa kaise kar lete ho tum, matalab.

ARN: To bhai simple ye, apne andar jo hai na aap value add karein.

Guest 1: Apne upar.

ARN: Bas, bas bilkul sahi.

Guest 1: Shuru me.

ARN: Agar aapke paas mai to bolta hoon das pandrah hazar bachane ke hain na, tum apne andar uski value add karo, kuch na kuch seekho. Time aisa aa raha hai agle paanch saal me no one will care. Dekho mai bolta hoon yahan par hai, ye ye jo hai woh paper degree, yahan pe aa gayi tumhari skill aur yahan pe aa gayi value. Mai na value ko na skill se bhi upar woh karta hoon. For example, developers hain, Karachi Pakistan me bhare pade hain developers, Pakistan me bhare pade hain achhe. Har developer thodi bhaap raha hai millions? Ab iski mai example doon, ek banda mere paas hum ek communication kar rahe thay Twitter pe, ek platform hai jo ke naam nahi le raha mai lekin woh track and trace ki aapko woh deta hai option, stocks ke stocks ko. Aap apna portfolio track kar sakte ho uske upar.

Guest 1: Haa.

ARN: To unhon ne ek naya platform banaya, mujhe achha laga woh. It was paid, matalab pehle woh free service dete thay ab woh paid hai, mujhe woh achha laga, maine uski tareef kari. Uske neeche ek bash shuru ho gayi.

Guest 1: Bash shuru ho gayi.

ARN: Bash shuru ho gayi, bhai ye to jo hai na paise bana rahe hain, bik gaye hain.

Guest 1: Maine bola yaar, gher liya, haa gher, haa.

ARN: Maine bola yaar dekho, aaj se woh teen saal tak free de rahe thay, us time tum logon ko koi problem nahi tha. Khair, woh ek uske andar ek banda aisa aaya ke jisne bola yaar mai jo, mujhe problem kya aa rahi thi ke wahan se jo data extract hua na, woh mai naye wale platform me import nahi kar pa raha tha export karke. Maine bola yaar ye na mujhe manually karna pada, ek bande ka neeche comment aaya, 'Firechaser, ye mai tumhein karke de sakta hoon'.

Guest 1: Maine bola kaise karke dega, maine bola aise hi...

ARN: Usne mujhe bola yaar ye mai jo hai na tumhein karke de sakta hoon, maine bola achha aise hi, usne phir mujhe DM kiya.

Guest 1: Usne mujhe bola, ye dekho...

ARN: Us bande ne yaar, Furqan aur Abdul Rehman, ek jo hai na live portfolio tracker bana diya.

Guest 1: Achhi G G I ke sath, achhi jo hai na uski UI UX thi.

ARN: Mera apna number de bhai mujhe, maine uska number liya.

Guest 1: Value kar di na usne.

ARN: Haan bhai, usne mujhe impress kar diya, ye hoti hai value jo aap apne andar build karte ho.

Guest 1: I think I know that guy.

ARN: Most probably, most probably.

Guest 1: I know that guy. He would have probably reached you.

ARN: Kaise use kar sakta hoon?

Guest 1: Mai is bande ko...

ARN: Aise hi sochte hain log. Jab aapke andar value hoti hai na...

Guest 1: They would like, love to hire you. Love to hire you.

ARN: Kya, koi bhi aapki capabilities hain, kya koi bhi aapki skills hain, agar aap kisi ke sath jud ke aur uske business ko yahan se yahan nahi le ke ja sakte ya problem nahi solve kar sakte, agle paanch saal me khatam ho jana hai sab kuch, value bikegi bas. Degree ho, na ho, skill ho, na ho. Aur value actually skill se hi banti hai ek time pe ja ke, jitni tum apne andar value add karoge na, income tumhari jo active income hai na, woh fold hoti rahegi, multiply hoti rahegi.

Guest 2: Matalab bas aapko ek skill develop karni hoti hai phir aapko usko ek framework me le ke aana hai ke agle bande ke liye mai kaise usko, uski problem solve kar saku.

ARN: Skill jo hai na, woh mai bata raha hoon na, mai to kyunki developer community se hoon to mai to developers ki example de sakta hoon. Yaar, bohat paapi paapi developer pade hain, code achha kar dete hain, neat and clean code padhoge aisa lagega kya khoobsurat jo hai na aise likha hua hai, lekin problem solving skill na nahi hai unme. You need to give them steps.

Guest 2: Hmm.

ARN: Aur ek aisa developer jiske aap ye bol do bhai, ye problem hai, mujhe iska solution nikal ke de de. Khud select kar kaun se framework pe kaam karna hai, khud select kar kaun si programming karni hai, kispe banana hai, mujhe koi parwah nahi hai, mujhe solution chahiye, aur woh banda aapko la ke de de, woh kamyab hai.

Guest 2: Team me bhi jaise, agar aapki koi team hai,

ARN: Haan, haan.

Guest 2: Let's say hum idhar podcast record kar rahe hain,

ARN: Haa, haa, bilkul.

Guest 2: Humein agar koi plug and play cheez de de, to hamare liye kitni value hai, humein koi cheez ke baare me sochne ki zaroorat nahi hai.

ARN: Har cheez me ye rule apply hota hai. Give value, get value. Give value, get value. Aur jitni aap value doge na, aapko multiply by two milegi. Now, that value can either be free or also paid. Iske upar bhi aapko iska pura jo hai na, aapko ikhtiyar hai ke aap jo value woh de rahe hain na, aap woh free me dena chahte hain ya aap usko kuch charge karna chahte hain. This is a very respectable model. Iske peeche koi pareshani ki baat nahi hai aur isse mai ab aa raha hoon ek jalte hue question ke upar jo tum logon se mai poochunga.

Guest 1: Maine guess kar liya.

Guest 2: Guess kar liya hai, haa.

ARN: Mai ye poochunga ke why do we have a different attitude when it comes to investment courses?

Guest 2: Achha, isme mai ek cheez add karoon? Ab dekho jaise yahan pe mutual funds hain, woh bhi to charge karte hain.

Guest 1: Hmm.

Guest 2: Maybe woh hidden hoti hai, logon ko nazar nahi aati.

Guest 1: Nahi, pata hota hai logon ko.

Guest 2: Isse logon ko utna woh nahi hota. Achha ek mere client hain, to woh bada mujhe keh rahe hain ke nahi nahi, mutual fund ki to woh waive kar dete hain, waive kar dete hain, waive kar dete hain. Maine kaha kaise waive kar sakte hain? Regulation hoti hain, aapki jo fund ke charges hain, har bande ko barabar lagti hai. Aap ek lakh dalo,

Guest 1: Haan, management fees.

Guest 2: Ek lakh dalo ya ek arab dalo.

Guest 1: Hmm.

Guest 2: To, baad me jab maine un, woh pehle mujhe kehte hain acha chalein theek hai, woh jo hai baad me discuss karenge. Maine kaha nahi ye badi important cheez hai. Ye to matalab regulation ke against hai ke woh different kar rahe hain. To phir unhon ne mujhe bataya ke nahi, woh mere paas aaye thay...ARN: fees? Ek lakh dalo ya ek arab dalo. To baad mein jab maine un wo wale mujhe kehte hain "acha chalein theek hai wo jo hai baad mein discuss karenge". Maine kaha "nahi, ye badi important cheez hai. Ye to matlab regulation ke against hai ke wo different kar rahe hain".

Rehman: Hmm.

ARN: To phir unhone mujhe bataya ke "nahi, wo mere paas aaye the log. Wo keh rahe the hum front-end load jo hai na waive kar denge".

Rehman: Yes.

ARN: To wo management fees ki to baat hi nahi ki unhone.

Rehman: Hmm, hmm, hmm.

ARN: To wo bohat saare log jo hai wo fees ka batate nahi hain aur charge kar rahe hote hain.

Rehman: Sahi.

ARN: But agar koi aise openly kahe ke "ye hamari fees hai", to usko thoda bura ja-samjha jata hai, especially finance industry mein.

Rehman: Haan.

ARN: Khair Furqan ispe tumne jo free course banaya hua hai, usko link karke apna thought process...

Rehman: It's a very... It's a very amazing effort, Furqan.

ARN: Acha ek model retail investors ke liye kya hona chahiye?

Furqan: Haan. Yaar maine jab course banaya tha na, to mera thought process kya tha? Kya hai abhi bhi hai, and probably I'll be updating it as well. Mera thought process ye tha yaar, nothing should stop them

Rehman: Hmm.

